book_img,book_title,book_price,book_score,book_page,book_genre,color,atmosphere,art_reputation,keyword
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791191824414.jpg,512번째 우주,"13,320",9.77,740,sf,"['Beige', 'Black', 'Purple']","['mysterious', 'dreamlike', 'emotional']",392,"['엔딩', '생전', '아버지']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791160515978.jpg,빅토피아,"11,700",10.0,650,sf,"['Beige', 'Brown']","['mysterious', 'dreamlike', 'emotional']",392,"['비만', '가상', '이벤트']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791166688027.jpg,기다리며 꾸는 꿈,"12,600",10.0,700,sf,"['Black', 'red', 'Brown']","['mysterious', 'dreamlike', 'emotional']",402,"['천재', '신주', '머리']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791166687525.jpg,구름문,"15,120",0.0,840,sf,"['Pink', 'White', 'Purple']","['mysterious', 'dreamlike', 'emotional']",399,"['슬리퍼', '지은', '구름']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791191193022.jpg,슈퍼 마이너리티 히어로,"11,700",9.25,650,sf,"['Purple', 'Green']","['mysterious', 'calm', 'emotional']",423,"['능력', '히어로', '초능력자']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791190090056.jpg,기파,"10,800",9.7,600,sf,"['Beige', 'Black', 'Purple']","['mysterious', 'calm', 'emotional']",391,"['기파', '반전', '고민']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788956057859.jpg,예술과 중력가속도,"15,300",9.64,850,sf,"['Beige', 'Purple']","['mysterious', 'dreamlike', 'emotional']",377,"['가속도', '중력', '예술']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791190090575.jpg,초월하는 세계의 사랑,"11,700",9.48,650,sf,"['Yellow', 'Beige', 'Orange']","['mysterious', 'dreamlike', 'emotional']",420,"['세대', '질서', '문학']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791157403899.jpg,무뇌 변호사,"13,050",10.0,720,sf,"['Beige', 'Brown']","['mysterious', 'dreamlike', 'emotional']",351,"['인간', '안드로이드', '변호사']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788960170261.jpg,얼터너티브 드림,"10,800",9.17,600,sf,"['Beige', 'Green', 'White']","['mysterious', 'emotional', 'colorful']",387,"['복거일', '이영도', '듀나']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791190090261.jpg,천 개의 파랑,"12,600",9.81,700,sf,"['Beige', 'White', 'Purple']","['mysterious', 'warm', 'dreamlike']",392,"['파랑', '기술', '진보']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788960179660.jpg,크르르르,"10,800",8.44,600,sf,"['Beige', 'Brown', 'White']","['mysterious', 'luxurious', 'emotional']",404,"['좀비', '수록', '마니아']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791130653495.jpg,그린 레터,"16,200",10.0,900,sf,"['Beige', 'White']","['mysterious', 'calm', 'bright']",325,"['디아스포라', '영화제', '해독']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788936456054.jpg,잃어버린 개념을 찾아서,"11,700",8.75,650,sf,"['Beige', 'Purple']","['mysterious', 'dreamlike', 'emotional']",398,"['과학자', '성적', '최초']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791160406504.jpg,방금 떠나온 세계,"13,500",9.67,750,sf,"['Beige', 'Brown']","['mysterious', 'luxurious', 'emotional']",420,"['초엽', '세계', '로라']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788957366653.jpg,AD 2054 우주 커넥텀 리포트,"10,800",10.0,600,sf,"['Beige', 'Black', 'Purple']","['mysterious', 'luxurious', 'emotional']",388,"['아담', '아바타', '우주']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791190254168.jpg,진화 신화,"10,800",10.0,600,sf,"['Beige', 'Brown', 'Green']","['mysterious', 'emotional']",420,"['일러스트레이션', '구상', '신화']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791191193350.jpg,우리가 오르지 못할 방주,"11,700",9.62,650,sf,"['Beige', 'Black', 'Purple']","['mysterious', 'luxurious', 'bright']",385,"['지능', '서울', '우주선']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788901114859.jpg,독재자,"9,900",0.0,550,sf,"['Beige', 'Black', 'red']","['mysterious', 'dreamlike', 'emotional']",378,"['환상', '권력', '웹진']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788957076248.jpg,콩고 콩고,"11,700",8.13,650,sf,"['Beige', 'White', 'Purple']","['mysterious', 'dreamlike', 'emotional']",392,"['유전자', '진화', '인류']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791170610120.jpg,소심한 사람들만 남았다,"12,600",9.51,700,sf,"['Beige', 'Black', 'Green']","['calm', 'dreamlike', 'emotional']",354,"['바이러스', '공통점', '김이환']"
https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788961090575.jpg,참견쟁이 신들,"8,010",8.06,440,sf,"['Beige', 'Black']","['mysterious', 'dreamlike', 'emotional']",390,"['단편', '명사', '인명']"
